iteration,mean_return,sharpe
0,-0.0011237994421016383,-4.070848352625167
1,-0.0007675407283428195,-2.8336110327732644
2,-0.0006318872430542791,-2.285349142290618
3,-0.0003984636984818476,-1.5430783163805886
4,-0.0002296403434667561,-0.921350282631434
5,-0.00037026649046037284,-1.3922829107535966
6,-0.00015590304322972176,-0.6005845681157962
7,-0.0006467158119194671,-2.457455493759361
8,-0.0005452134219159109,-2.105432232976197
9,-0.0007602530069681175,-2.67474262361126
10,-0.000600056055395441,-2.2590169687982855
11,-0.0008612788641071648,-3.289345144574988
12,-0.001023471644275116,-3.5279589823142117
13,-0.0005669650710220774,-2.231215177957993
14,-0.0012329081948139985,-4.679458995341704
15,-0.0008551031677069338,-3.257175905441831
16,9.726676147762598e-05,0.3640662830134878
17,-0.00019873934424771255,-0.7226140923486981
18,-0.0008478023999170163,-3.1136693408203824
19,-0.000589549954503745,-2.2380524109363114
20,-0.00041809284413994903,-1.5551732310993827
21,-0.000877374747838005,-3.206983554068287
22,-0.0007600391380403927,-2.855439884905025
23,-0.00047772656249735044,-1.7407591289865088
24,-0.0004152147535372513,-1.5624140132249926
25,-0.0008468983609042795,-2.969870926493908
26,-0.000649021580711878,-2.5733693583542974
27,-0.0008326604756704735,-2.8514957740956057
28,-0.0008235972679979065,-3.0572641891991417
29,-0.0007294749544368269,-2.672878681556509
30,-0.0010116654491605275,-3.8434693841115157
31,-0.00031919632231800296,-1.154447455819536
32,-0.0008586715301536565,-3.0753058460525606
33,-0.0008129768495003359,-3.0286136473234357
34,-0.0009407168401842042,-3.493230945080503
35,-0.0004283743640774401,-1.5019141349988805
36,-0.0004980490447984851,-1.9030952080854808
37,-0.0009055663586812437,-3.4725290943350515
38,-0.0004084715794859735,-1.5137127838498505
39,-0.0005493780108727557,-2.108485589520621
40,-0.0004121143025778491,-1.5073021442074848
41,-0.001029002387887188,-3.815666084871218
42,-0.00035225096072929595,-1.429961983207508
43,-0.0005215605948690411,-1.9550368533184284
44,-0.0005346943101463807,-1.9886697978187262
45,-0.00030919827278791905,-1.0819778907608593
46,-0.0008187001211028382,-2.8569531166028117
47,-0.0004626873066372818,-1.7008709891380442
48,-0.0008251760723393196,-2.8835568388662054
49,-0.00029212552431993313,-1.1545299006135932
50,-0.000552196025959287,-2.0394590125612226
51,-0.0006788086548078388,-2.618715160515067
52,-0.0009894760369361759,-3.5594983441070283
53,-0.0006098391137896865,-2.0803195405314177
54,-0.0008100994496269719,-3.158983623135659
55,-0.0011369143894822402,-4.2366723488232845
56,-0.0008933194634370007,-3.338392278883927
57,-0.0005352170359529021,-1.9537831642018684
58,-0.0009074872452520245,-3.137471881426957
59,-0.0005581677056368153,-2.0453043084215885
60,-0.0006821319441693352,-2.401015932638753
61,-0.0004241745270330509,-1.6240962050334924
62,-0.0001514807306033818,-0.5831529894754304
63,-0.0008092935099866809,-3.1460286990400372
64,-0.00037875435724646,-1.3763183959618925
65,-0.00034295712890344544,-1.3351795947685798
66,-0.000664855322229682,-2.4730295860770446
67,-0.0010664394366254404,-3.920324463176585
68,-0.0007677504127580745,-2.7460846285487626
69,-0.0006024476758372117,-2.243303249465128
70,-0.0006170902933436021,-2.188575240225254
71,-0.0007670226177508507,-2.8288412229552287
72,-0.0007898406843684685,-2.8231002803755048
73,-0.0010307598998510004,-3.8816088289020745
74,-0.0009363867245362792,-3.4343609384822815
75,-0.0005898200307546036,-2.052984429171049
76,-0.0005730096629791303,-1.995115180017682
77,-0.0007717619646944432,-2.824712561695148
78,-0.000853504656108494,-3.02831608677179
79,-0.0004484823490720766,-1.6098360472520332
80,-0.0004996181050648451,-1.7815446395530155
81,-0.000614926479301528,-2.4020066148151353
82,-0.000567427575637804,-2.1110738556079367
83,-0.0007678606151602101,-2.847930611260109
84,-0.0008999838242045664,-3.1875221931447615
85,-0.000204138260577335,-0.758202515157036
86,-0.0006683106824977599,-2.430617747744044
87,-0.0005736997351687879,-2.033006329076284
88,-2.1305049758711244e-05,-0.07799360021574847
89,-0.0005873141569808937,-2.2140328295555003
90,-0.0002411374598746921,-0.9345565393609178
91,-0.0009385005097055188,-3.6743855404452774
92,-0.0006529077779098959,-2.3957146984867785
93,-0.00026393916492776386,-0.901143337445891
94,-0.0007607762320770174,-2.8334119037494543
95,-0.0005627136909657336,-2.257498900062319
96,-7.366842680763736e-05,-0.2578499430634506
97,-0.0005295808144744872,-1.8720639656403586
98,-0.0006849629617133466,-2.66715618624089
99,-0.0005435266764910794,-1.947876261579403
100,-0.0005957824081299038,-2.287370500609163
101,-0.0008393390648022903,-3.2860580643603288
102,-0.0009005577322604008,-3.3029600719663925
103,-0.00012037457570139943,-0.4428010452479436
104,-0.00037030115484303473,-1.3280910349972475
105,-0.0012063478975506345,-4.099296316732289
106,-0.000846466802959973,-3.127966336012082
107,-0.0009859305698035174,-3.735152256375719
108,-0.0010077434464612932,-3.5822543101421163
109,-0.0004213160195373024,-1.6159329217077119
110,-0.0010589850795458793,-3.909740217205251
111,-0.0007126231713366341,-2.5901510855446106
112,-0.0006025685213564409,-2.205673750104792
113,-0.0003970012658341938,-1.4147514143276523
114,-2.5962497320449494e-05,-0.09858268662308335
115,-0.0007895914630013442,-2.7842848326601484
116,-0.0011822789140409113,-4.198886346963784
117,-0.00035841241898610255,-1.3639880975292336
118,-0.0007553567793082455,-2.7052846676435687
119,-0.0008379604308660964,-3.0696117687805273
120,-0.0006206997913568501,-2.2753268647008067
121,-0.000615045122343131,-2.308718915493645
122,-0.0007470059938751714,-2.8426908638385564
123,-0.0005472186285416205,-1.9815483401706298
124,-0.0004178773093875996,-1.445982031782187
125,-0.0004907638698694549,-1.8715845810276128
126,-0.000732000826331345,-2.638684433996349
127,-0.00021725978779342042,-0.8441458393877629
128,-0.0006045886896827471,-2.160954702046278
129,-0.0008692933761129389,-3.39491559155557
130,-0.0006198598745217169,-2.4554491008919754
131,-0.0003117972070640702,-1.2176773869330364
132,-0.0012500216950828555,-4.424900711457588
133,-0.0002033514988664839,-0.729637968430456
134,-0.0005857023762668349,-2.0961343994382795
135,-0.0008185057515151289,-2.989381242523518
136,-0.0006611477773610225,-2.4444907377721146
137,-0.0010834855305168001,-3.986005804789268
138,-0.0004343638370670551,-1.6030402823618446
139,-0.0007435651015103368,-2.7269370966207926
140,-0.0007841592834518315,-2.9529713605271084
141,-0.000781759323853473,-2.9203937263414304
142,-0.0007379244915460336,-2.7104402237528755
143,0.00025821129115465144,0.9275536306321339
144,-0.0004031915702217064,-1.4210413764184187
145,-0.0006762094014191488,-2.4052723624759356
146,-0.0007927843180885563,-2.9290912648381853
147,-0.0004544329312601921,-1.7362235901668746
148,-0.0014472851845392367,-5.711216936014457
149,-0.0009105644450309388,-3.090413950242404
150,-0.0007299526937738527,-2.6781755280162822
151,-0.000600574834521837,-2.2153020344594925
152,-0.0009631831165343744,-3.584578366512713
153,6.395788127672138e-05,0.239861072817708
154,-0.0009069334169230341,-3.3125415282721704
155,-0.00036923333414327057,-1.3571573556140912
156,-0.0003323167973009437,-1.2364590618431428
157,-0.0004620530349749353,-1.7725713630666502
158,-0.000735671028542492,-2.647156071121308
159,-0.0003273760561313564,-1.2250031550963214
160,-0.0003254059588018578,-1.2445646422744652
161,-8.959319859106039e-05,-0.3318258333164516
162,-0.0005899805365455218,-2.150257162996533
163,-0.000361467972200658,-1.3498647663205716
164,-0.0011622096620065247,-4.280585712993058
165,-0.0005291524054551497,-1.9915447291367006
166,-0.0006662272928529236,-2.3098926274121077
167,-0.000655412775068837,-2.2628480990512796
168,-0.0006427654088470803,-2.270858908497075
169,-0.0002865185529290725,-1.167111509543882
170,-0.0005776184815782928,-2.0823579085425385
171,-0.0008951299233003312,-3.4455852723719813
172,-0.0004220328291042698,-1.6114816494713688
173,-0.0008973140697832379,-3.2519178518133263
174,-0.0003439950044905816,-1.2730423950188192
175,-0.000842028029625508,-2.9987866194977175
176,-0.0007728126807654912,-2.9759496865242157
177,-0.0009626714915989088,-3.636345616576743
178,-0.00038398410180693715,-1.4309095755389876
179,-0.0010663267643604758,-3.9245119963770914
180,-0.00041110989249153586,-1.5692266588617898
181,-0.00044586862011125643,-1.7657932989141443
182,-0.0005025470829803498,-1.8455215600391663
183,-0.00034865608062750275,-1.3060477924344007
184,-0.0003521316427332969,-1.3150134906895599
185,-0.0005786465223822719,-2.206755519504411
186,-0.0010925808063006947,-3.8923604035618857
187,-0.00011858269377504418,-0.4460999782455152
188,-0.0006077201932112514,-2.305288771497652
189,-0.0007417530447175025,-3.0282854696469124
190,-0.0006339358794835943,-2.1609440876865627
191,-0.0002295732451768218,-0.880513326287098
192,-0.0004800418891477281,-1.7481000943921814
193,-0.0005946006594049383,-2.167680760904345
194,-0.00010796292598017776,-0.41081513800355396
195,-0.0008544817951079543,-3.032888789306795
196,-0.00046230543051327855,-1.657138632302517
197,-0.0008127897979089059,-2.902262284812025
198,-0.001068699074677742,-4.118186766587997
199,-0.0003836055716201801,-1.4153999106143957
200,-0.00036744270666179565,-1.353372146307129
201,-0.0005645586969504987,-2.1114318865169257
202,-0.0006634132042083598,-2.607809090333149
203,-0.0005343062284590942,-1.8457471605266005
204,-0.0004594879725653765,-1.6412401523378435
205,-0.0006313029775618147,-2.2453940893875677
206,-0.0010574979353619152,-3.945583462806227
207,-0.0007243264532601785,-2.6285270777845957
208,-0.0010322088287503326,-3.6910247499662256
209,-0.00038913150232761784,-1.390624101306
210,-0.00041842105699916584,-1.6135067439074848
211,-0.0003583801878260866,-1.3314697721426576
212,-0.00084945532140464,-3.38848057052907
213,-0.0005075441355909697,-2.0063178418733303
214,-0.00046462899329526887,-1.7020245884267153
215,-0.0006888521290048388,-2.629383092817277
216,-0.0009711381467934253,-3.3784784271252626
217,-0.0007908441719589533,-2.908223834478941
218,-0.0007868550909501746,-2.8780504208170115
219,-0.00022461343299800767,-0.8126980350855098
220,-0.0005107859838214639,-1.9145181329042547
221,-0.0009877407332487586,-3.536389220597013
222,-0.0003513625028539614,-1.3731801117802953
223,-0.0002485391019248684,-0.9601773797916728
224,-6.623395402812087e-05,-0.2559547312091539
225,-0.0007474620853266525,-2.777961318132397
226,-0.00011872167652441389,-0.4328238000476667
227,-0.0009173750135684499,-3.075845512848619
228,-0.0008264595888437379,-2.99777821999343
229,-0.0006826543269368146,-2.4323937318958317
230,-0.0002490946794585233,-0.9599748821801531
231,-0.0006077146470889263,-2.3778307792657074
232,-0.0008967587563698525,-3.2711320932192134
233,-0.000732535945726664,-2.779338737967556
234,-0.0007852790908917364,-3.010295832697496
235,-0.0005411878862325084,-1.937233161652941
236,-0.00032337394978622076,-1.204921203441053
237,-0.00035418899601296754,-1.2739681999944186
238,-0.000821898897737899,-3.1210479626588783
239,-0.0007407879678434785,-2.6190710298976687
240,-0.001145351765797108,-3.9261814456734756
241,-0.0009061203519911695,-3.420098780531359
242,-0.00041937586214959584,-1.6036919399551763
243,-0.0006102991478741516,-2.333576110389704
244,-0.00098383596990801,-3.7092221397968967
245,-0.0007588172392467277,-2.722434450364725
246,-0.0009331506861264816,-3.5533750377232582
247,-0.00031912902585048785,-1.2970489826747327
248,-0.0005455804213710409,-2.014937078526258
249,-0.0010250511151936466,-3.6119047034212
250,-0.0005936196503337274,-2.1312414084059377
251,-0.0006806324087334672,-2.6037702223547283
252,-0.00051314571468301,-1.860084885120835
253,-0.0007154841295204584,-2.5193544350988386
254,-0.00020140250014278618,-0.7350543880081292
255,-0.0010557780304289001,-3.7770461697041866
256,-0.0002860453452147611,-1.0016854484363609
257,-0.0003784134859231973,-1.435096080351169
258,-0.0005009391156295312,-1.745487787022765
259,-0.0002992486041436703,-1.0979772065862792
260,-0.0003947356247213808,-1.579590205215396
261,-0.00017354627008908874,-0.6198177597711575
262,-0.0012188951002807293,-4.925485074328946
263,-0.00028204211324742655,-1.1384368277683907
264,-0.0001646013911993949,-0.6454920686140725
265,-0.0011146650085298074,-3.88161533337011
266,-0.0009043750701463781,-3.6440554207949893
267,-0.0009993006795276079,-3.6224025916300833
268,-0.0013385743917703249,-5.057360844544943
269,-0.0008958110399820061,-2.9807816736677366
270,-0.0006861916716387736,-2.4977323003768155
271,-0.0006102028212898148,-2.1636618456378476
272,-0.00022778219144278588,-0.8534092999894521
273,-0.0009013445655180063,-3.438459453172174
274,-0.0005276269842492574,-1.929956373931719
275,-0.0010290332062074994,-3.8850175744629127
276,-0.0004345212916700914,-1.613858035005074
277,-0.000580842339603613,-2.1343771837726107
278,-0.0009526900127569824,-3.9458828747574097
279,-0.0007449784791589429,-2.735745634001119
280,-0.0007035905336610055,-2.4470044677570675
281,-0.0008512558438247535,-3.154764342740655
282,-0.0009457169169425633,-3.7391559247035313
283,-9.10932275566492e-05,-0.33561799117751395
284,-0.0006181722027211567,-2.31088215195431
285,-0.0004740284898831538,-1.706740882795214
286,-0.0004326113190073355,-1.6663974388163691
287,-0.0003938134216266483,-1.4651813745113953
288,-0.0005404611755867856,-2.0380252364047897
289,-0.0009041712729440026,-3.3397137568510633
290,-0.0007993701429267219,-3.0081028232162885
291,-0.0006342369813024376,-2.4594791804768694
292,-0.0006660758802826544,-2.5096484275050037
293,-0.0006158646300163837,-2.296405360685496
294,-0.00039932095592317665,-1.5760983194976137
295,-0.00042194142276393514,-1.573473538751363
296,-0.0003458550886746899,-1.3231356088178057
297,-0.0004320535466694046,-1.6747890139944677
298,-0.0003173868532856675,-1.1741140535519283
299,-0.0004105234554141317,-1.535295509435523
300,-0.0006636174657094659,-2.4522919503316394
301,-0.000588840928728862,-2.2487530291284625
302,-0.0006746247946075373,-2.51523813961905
303,-0.0012757564469513462,-4.989408202161888
304,-0.0010166078065769384,-3.671984786333444
305,-0.0007673037080254732,-2.929585281658121
306,-0.0007999902503109782,-3.161746007508128
307,-0.00037644462903322755,-1.4020889136072954
308,-0.0008130675621589484,-2.9054730044366113
309,-0.0007129471298585944,-2.6441389213353164
310,-0.0005640371626333906,-2.2867081064364303
311,-0.0005014995115987157,-1.8561184090127325
312,-0.000625491981624697,-2.1612669745527495
313,-0.000686367015375258,-2.4990423566472533
314,-0.0005998088128228499,-2.222961328925496
315,-0.0006623254077465666,-2.5485105305117854
316,-0.0004102216679917005,-1.6017783200919475
317,-0.0011598130471478848,-4.099293520041966
318,-0.0009295969592815157,-3.6789945644409006
319,-0.0005114153577641358,-1.9089420790361615
320,-0.000653715703236245,-2.3886011961560345
321,-0.0007015103148837803,-2.6378637426498166
322,-0.0003645151268345453,-1.3698607212176677
323,-0.000765415357477804,-2.864225474083146
324,-0.0005243268390819893,-1.9626303405880006
