Datetime,equity
2024-09-14 00:00:00+00:00,100000.0
2024-09-14 04:00:00+00:00,100000.0
2024-09-14 08:00:00+00:00,100000.0
2024-09-14 12:00:00+00:00,100000.0
2024-09-14 16:00:00+00:00,100000.0
2024-09-14 20:00:00+00:00,100000.0
2024-09-15 00:00:00+00:00,100000.0
2024-09-15 04:00:00+00:00,99975.82100005799
2024-09-15 08:00:00+00:00,99178.4945876112
2024-09-15 12:00:00+00:00,99597.99554735358
2024-09-15 16:00:00+00:00,98831.70528378033
2024-09-15 20:00:00+00:00,97671.31109704763
2024-09-16 00:00:00+00:00,96675.65333004046
2024-09-16 04:00:00+00:00,97212.07972139404
2024-09-16 08:00:00+00:00,96799.41031637936
2024-09-16 12:00:00+00:00,95574.15297741507
2024-09-16 16:00:00+00:00,95130.24816139568
2024-09-16 20:00:00+00:00,95376.90632028284
2024-09-17 00:00:00+00:00,95122.9935096637
2024-09-17 04:00:00+00:00,95942.76915537694
2024-09-17 08:00:00+00:00,95725.12960341766
2024-09-17 12:00:00+00:00,98905.8570174844
2024-09-17 16:00:00+00:00,97106.09766620368
2024-09-17 20:00:00+00:00,97565.90367029265
2024-09-18 00:00:00+00:00,97918.24824450117
2024-09-18 04:00:00+00:00,97786.40656196096
2024-09-18 08:00:00+00:00,96873.22138554945
2024-09-18 12:00:00+00:00,96219.38446449193
2024-09-18 16:00:00+00:00,97169.30432434332
2024-09-18 20:00:00+00:00,99737.19961945417
2024-09-19 00:00:00+00:00,100470.45878401288
2024-09-19 04:00:00+00:00,100754.00086686877
2024-09-19 08:00:00+00:00,101422.97951003791
2024-09-19 12:00:00+00:00,103953.4639428952
2024-09-19 16:00:00+00:00,104011.63599882294
2024-09-19 20:00:00+00:00,103902.56339395841
2024-09-20 00:00:00+00:00,105189.62013135994
2024-09-20 04:00:00+00:00,106720.38667365434
2024-09-20 08:00:00+00:00,106239.4811301149
2024-09-20 12:00:00+00:00,104334.53625661702
2024-09-20 16:00:00+00:00,103403.57571952074
2024-09-20 20:00:00+00:00,104234.55471825061
2024-09-21 00:00:00+00:00,103526.47271149744
2024-09-21 04:00:00+00:00,104005.44542526094
2024-09-21 08:00:00+00:00,104035.15231405
2024-09-21 12:00:00+00:00,104177.58260276473
2024-09-21 16:00:00+00:00,104030.47303593905
2024-09-21 20:00:00+00:00,105576.88184979968
2024-09-22 00:00:00+00:00,104861.96260315944
2024-09-22 04:00:00+00:00,104590.38219968727
2024-09-22 08:00:00+00:00,104291.32044586379
2024-09-22 12:00:00+00:00,103883.94984065556
2024-09-22 16:00:00+00:00,104201.60191971673
2024-09-22 20:00:00+00:00,104307.89008357562
2024-09-23 00:00:00+00:00,105365.08152345534
2024-09-23 04:00:00+00:00,104064.11394625789
2024-09-23 08:00:00+00:00,104045.23952638915
2024-09-23 12:00:00+00:00,105200.51130918783
2024-09-23 16:00:00+00:00,105105.74599276356
2024-09-23 20:00:00+00:00,104083.3815832072
2024-09-24 00:00:00+00:00,103313.85575647576
2024-09-24 04:00:00+00:00,103555.87869170627
2024-09-24 08:00:00+00:00,103042.28543506557
2024-09-24 12:00:00+00:00,102380.94617308988
2024-09-24 16:00:00+00:00,104294.60871838126
2024-09-24 20:00:00+00:00,107453.55902292478
2024-09-25 00:00:00+00:00,106939.96576628408
2024-09-25 04:00:00+00:00,105371.04390010769
2024-09-25 08:00:00+00:00,106222.3423117998
2024-09-25 12:00:00+00:00,105828.3529642398
2024-09-25 16:00:00+00:00,105525.82542950625
2024-09-25 20:00:00+00:00,104111.6850927284
2024-09-26 00:00:00+00:00,104505.06232983682
2024-09-26 04:00:00+00:00,105104.54710854456
2024-09-26 08:00:00+00:00,105744.52103817149
2024-09-26 12:00:00+00:00,108649.02034076989
2024-09-26 16:00:00+00:00,107542.5444159705
2024-09-26 20:00:00+00:00,107570.20631409048
2024-09-27 00:00:00+00:00,107687.76938110041
2024-09-27 04:00:00+00:00,108897.97742384975
2024-09-27 08:00:00+00:00,107936.72646418029
2024-09-27 12:00:00+00:00,109976.79145052914
2024-09-27 16:00:00+00:00,108980.96311820971
2024-09-27 20:00:00+00:00,108548.50699087467
2024-09-28 00:00:00+00:00,108382.5276005018
2024-09-28 04:00:00+00:00,107883.78370418715
2024-09-28 08:00:00+00:00,107774.6079401312
2024-09-28 12:00:00+00:00,107560.28503799925
