iteration,mean_spread
0,-6.890116028993003e-05
1,-0.0001479120079656468
2,-4.384150870135993e-05
3,0.00013243468659778466
4,-0.00024598830662309767
5,3.3022802993709384e-05
6,-0.00017646721983198018
7,-0.0001546103991551055
8,0.00017125283129445734
9,-0.00019607011601394697
10,-0.00022419782333519297
11,-7.941423000191872e-05
12,0.00014772083276376152
13,-0.00016491135024030476
14,-0.00027928855530460556
15,-0.0004921067141084181
16,-0.00014346815459307066
17,0.0003218136936653537
18,-0.00014930749080641707
19,-0.00018167722601957688
20,-8.13900019567887e-05
21,-0.00017668833581678168
22,1.0354836068143978e-05
23,-0.00031574264807395305
24,-1.3978169992029604e-05
25,-0.00018892637316178802
26,2.295687956278526e-05
27,-0.00020987682715522193
28,-0.0002808489769234798
29,-0.000331319430040584
30,-0.0003813924594799069
31,-3.8575366931008726e-05
32,-0.00022851396332342254
33,-0.00021667764882193937
34,-0.00023378063212751028
35,1.2410418009594357e-05
36,-0.00031174410445549534
37,-0.0003501280278148332
38,-4.728058176053452e-05
39,8.365069522902143e-05
40,0.00013262153395158046
41,-0.0005741106323263465
42,5.99432202428627e-05
43,-0.00019895797085909417
44,4.3675087689354135e-05
45,-4.047893247090086e-05
46,8.790341294354809e-05
47,0.00022798392804886848
48,-0.00016650277976860427
49,4.410953434821769e-05
50,0.00021648381277221662
51,-0.00038613176523503425
52,2.827605433680686e-05
53,-4.182330759094328e-05
54,-0.0002853026670380772
55,-0.00036399025050592543
56,0.00016017502437837432
57,0.00013119544538752227
58,7.778967621246822e-05
59,8.905311834152727e-05
60,-0.00027828976707726724
61,-0.00029726956892647474
62,-5.4632447613366357e-05
63,-0.00016899893488581642
64,6.342855177100736e-05
65,0.0001390890276464164
66,-0.00028998103366007795
67,-0.00022769572782970046
68,-0.00026708289016504517
69,7.029660447515153e-05
70,-0.0002693907280324077
71,-0.0003479212277055506
72,-0.0002458696483131134
73,-0.0002462270508046175
74,-0.0002550512551149487
75,-9.377829920460807e-05
76,3.251756607563693e-05
77,-0.00041736432463368634
78,-0.00020126686123898382
79,-7.679595455466453e-05
80,0.00027172712275708817
81,8.692770427350056e-05
82,-1.143100693465054e-05
83,-9.921142604476792e-05
84,-0.00011648543177121955
85,-0.0002238475172187613
86,-0.00016661711919966713
87,-9.139863961095766e-05
88,-4.8111743481323985e-05
89,-0.00021499386824400238
90,-0.00013667883939973065
91,-0.00022691694255317773
92,-0.0002004299229376239
93,-3.793171484938372e-05
94,-0.00010274036242538782
95,-0.0003240330865202315
96,-0.00019077248072126815
97,-5.3124154527257474e-05
98,-9.081700377916293e-05
99,-0.00012514705528508528
100,-0.00014609649722612187
101,-0.00014507979177841694
102,1.2565774908886938e-05
103,3.0352374773497728e-05
104,-8.225282076116641e-05
105,-0.00023792778436289497
106,7.430226078106318e-06
107,-0.00029395294137188864
108,-0.00017817186418454066
109,-0.00017939253843722938
110,-0.00023802979186491612
111,-7.723625588377041e-05
112,0.00017095958625463705
113,-0.00012382619353428468
114,-2.658846202275743e-05
115,-2.559898296770905e-05
116,-0.00037982789252717056
117,-8.479280032247021e-05
118,-0.0003133457131912002
119,-1.6287076154281864e-05
120,-0.00026581146440292586
121,-0.00018872057185037076
122,-0.00018281789624665404
123,-0.00014446430689869224
124,-0.00030803610034752085
125,2.1609206334250904e-06
126,-8.207868782931748e-05
127,-0.00013758195419481264
128,-2.1317230130869133e-05
129,-0.0002935250690545821
130,0.0001424592441576714
131,-9.000079140288237e-05
132,-0.0004553970313445069
133,2.2856494485055573e-05
134,-0.00012282521417192853
135,-0.00034423861860583807
136,-8.875763896385115e-06
137,1.3191349258379926e-05
138,-0.000417727331932132
139,1.1481632595101814e-05
140,-0.0003253481594366939
141,-0.0002099609482710248
142,-0.0002372609990180103
143,-4.000946931277375e-05
144,-0.00012634791064880673
145,-0.0001701513559050492
146,-0.00026494385727516125
147,-9.902628301585352e-05
148,-8.982108073418692e-05
149,-0.0002473411596178239
150,-0.00026178208017861213
151,-0.00042121348645839183
152,-0.0003808008839137263
153,4.067957591211152e-05
154,-0.00029866595493068497
155,-8.86998177933379e-05
156,-0.0005159328657536455
157,3.599926156352286e-05
158,4.4753652847297506e-05
159,-0.00016403390808661015
160,-0.0001683885291762361
161,0.00015549006353913605
162,-7.860377297419002e-05
163,-0.0001756518958543265
164,-0.000235418153432516
165,-3.557230212004199e-05
166,-0.00016505725532447736
167,-2.8493491688824143e-05
168,-0.00045394550187101076
169,0.0001790890233067854
170,-8.551554773136986e-05
171,-8.688387923772259e-05
172,-0.0002434537563824708
173,-7.607996018862921e-05
174,-0.00021626118855662283
175,-0.0001616892281106488
176,-1.5158943679989262e-06
177,-0.0002773438409625547
178,-5.58548594325463e-05
179,-7.731245517832202e-05
180,-0.00014529938392440636
181,-0.00017745750956228164
182,2.508593693240454e-05
183,-0.00015179571216243886
184,-0.0001467534982377008
185,-0.00017729193146030976
186,-0.0001762723881654538
187,-0.0003514883275783958
188,-0.000328783050974258
189,-0.00018419616099482066
190,-8.12555236570883e-05
191,-0.00025681306864486095
192,-0.00019928138475039047
193,-9.409860269340315e-05
194,5.7695584121414373e-05
