entry_index,exit_index,entry_price,exit_price,qty,gross_pnl,commission_paid,slippage_paid,net_pnl
107,125,61732.433861718746,62383.223984375,0.16198940126676517,105.42110231941118,10.052710551159706,4.02108859815095,95.36839176825147
161,166,59701.00421953125,62268.31337734375,0.16766111341058806,430.4379118680433,10.224755795110848,4.089919699157226,420.21315607293246
581,610,97104.65923593749,98169.2450359375,0.10351262476872104,110.19807044951028,10.106657190008875,4.042667445631483,100.09141325950141
729,732,90786.606815625,94491.176109375,0.1108265596548147,410.56466982917897,10.266849631024659,4.106756439267036,400.2978201981543
812,827,99044.7503015625,103319.54289531251,0.1019902321665051,435.9870891002202,10.319590622679996,4.127853853668565,425.6674984775402
847,857,99219.55869375,101984.63024375,0.10223955802190679,282.6996931709481,10.285513674563113,4.114216942382336,272.414179496385
947,951,94003.9454671875,96371.7296109375,0.10820189722225705,256.1987365665277,10.29950461421054,4.1198122584258625,245.89923195231717
984,1016,91514.439853125,86190.5631265625,0.11141405865004965,-593.1547138588694,9.899417812193075,3.959743557079144,-603.0541316710626
1062,1079,80786.62284375,82892.246359375,0.12546247632555352,264.17674047963084,10.267778126195221,4.107121981832076,253.9089623534356
1179,1197,82263.48065625,83904.6141578125,0.12351872995321353,202.71072579666938,10.262436015089083,4.1049826786647605,192.44828978158029
1230,1247,78327.865565625,82271.745484375,0.12997067400795673,512.5887312463827,10.436619846792098,4.174668609253203,502.15211139959064
1590,1594,101564.1290765625,105135.5546203125,0.10072986186487885,359.74920168263696,10.410415293150185,4.164180673795771,349.33878638948676
1690,1697,98966.867540625,103215.649615625,0.10372637657480603,440.7107694957368,10.485829955695685,4.194349778482,430.22493954004113
1931,1948,113265.7814390625,114841.2380953125,0.09101157413943096,143.38479027375658,10.3801894600387,4.152081685490655,133.00460081371787
2031,2056,115039.43297343749,116388.93630625,0.0897239951397056,121.08283047428648,10.382338940220336,4.152940585517749,110.70049153406615
2240,2280,112612.752421875,112178.7238296875,0.09175575014299572,-39.824619059672784,10.312955264606762,4.1251806778655205,-50.13757432427955
2351,2369,116696.3346,115901.56505,0.08850195554217664,-70.33865938037549,10.292684487013982,4.11707114594182,-80.63134386738948
2390,2405,105607.50790312499,108939.22342187501,0.09771834301576263,325.5697198921537,10.482575542263508,4.193043407414224,315.08714434989025
2470,2486,107736.0038296875,110902.939975,0.09608022414787246,304.27993470362435,10.503439364104233,4.201388084894408,293.7764953395201
2494,2530,105745.6058296875,103710.0272828125,0.09816650975554819,-199.82564127998896,10.280764225646378,4.11229786172446,-210.10640550563534
2559,2609,96172.07431875,89890.11213125,0.10772010980443265,-676.6936566247941,10.021319577423412,4.008500923563262,-686.7149762022176
2626,2632,84670.53228281249,90910.47051875001,0.12154163474184966,758.4122938840193,10.670201055057596,4.268110929237304,747.7420928289616
2711,2728,86149.648359375,88429.94328593751,0.12032282562730226,274.3715288276025,10.502954881812286,4.201193095632998,263.8685739457902
2924,2970,91101.46665,89112.08026875,0.11407232349747316,-226.93392684341813,10.278689011371354,4.111466691650797,-237.2126158547895
2980,3039,84797.3232609375,70922.4611078125,0.12227313686897802,-1696.5229190872556,9.520173253663955,3.8080015928683366,-1706.0430923409194
3127,3142,64971.4838859375,67476.09583125,0.15695855772474854,393.12027859642666,10.394390543271705,4.1577721084308195,382.72588805315496
3321,3338,66690.2338171875,67541.442134375,0.1534872860220913,130.64965444454057,10.301427820001074,4.1205765188099255,120.3482266245395
3659,3663,74536.044853125,76648.0501359375,0.13749237480517584,290.38462193496827,10.393330126408744,4.1573438322415175,279.99129180855954
3688,3753,73123.418634375,63282.200403125,0.14053140753722018,-1383.000249918515,9.584636819662856,3.833799561207244,-1392.5848867381778
3853,3884,60178.97479453125,60342.33927421875,0.16844551590582238,27.51801406164742,10.15063746297912,4.060256248322218,17.367376598668297
4318,4333,76541.89906875,76675.75553125,0.13245837008174635,17.73040884765839,10.147480398031995,4.058993030788885,7.582928449626396
