Datetime,equity
2025-09-10 04:00:00+00:00,100000.0
2025-09-10 08:00:00+00:00,100000.0
2025-09-10 12:00:00+00:00,100000.0
2025-09-10 16:00:00+00:00,100000.0
2025-09-10 20:00:00+00:00,100000.0
2025-09-11 00:00:00+00:00,100000.0
2025-09-11 04:00:00+00:00,100000.0
2025-09-11 08:00:00+00:00,100000.0
2025-09-11 12:00:00+00:00,100000.0
2025-09-11 16:00:00+00:00,100000.0
2025-09-11 20:00:00+00:00,100000.0
2025-09-12 00:00:00+00:00,100000.0
2025-09-12 04:00:00+00:00,100000.0
2025-09-12 08:00:00+00:00,100000.0
2025-09-12 12:00:00+00:00,100000.0
2025-09-12 16:00:00+00:00,100000.0
2025-09-12 20:00:00+00:00,100000.0
2025-09-13 00:00:00+00:00,100000.0
2025-09-13 04:00:00+00:00,100000.0
2025-09-13 08:00:00+00:00,100000.0
2025-09-13 12:00:00+00:00,100000.0
2025-09-13 16:00:00+00:00,100000.0
2025-09-13 20:00:00+00:00,100000.0
2025-09-14 00:00:00+00:00,100000.0
2025-09-14 04:00:00+00:00,100000.0
2025-09-14 08:00:00+00:00,100000.0
2025-09-14 12:00:00+00:00,100000.0
2025-09-14 16:00:00+00:00,100000.0
2025-09-14 20:00:00+00:00,100000.0
2025-09-15 00:00:00+00:00,100000.0
2025-09-15 04:00:00+00:00,100000.0
2025-09-15 08:00:00+00:00,100000.0
2025-09-15 12:00:00+00:00,100000.0
2025-09-15 16:00:00+00:00,100000.0
2025-09-15 20:00:00+00:00,100000.0
2025-09-16 00:00:00+00:00,100000.0
2025-09-16 04:00:00+00:00,100000.0
2025-09-16 08:00:00+00:00,100000.0
2025-09-16 12:00:00+00:00,100000.0
2025-09-16 16:00:00+00:00,100000.0
2025-09-16 20:00:00+00:00,100000.0
2025-09-17 00:00:00+00:00,100000.0
2025-09-17 04:00:00+00:00,100000.0
2025-09-17 08:00:00+00:00,100000.0
2025-09-17 12:00:00+00:00,100000.0
2025-09-17 16:00:00+00:00,100000.0
2025-09-17 20:00:00+00:00,100000.0
2025-09-18 00:00:00+00:00,100000.0
2025-09-18 04:00:00+00:00,100000.0
2025-09-18 08:00:00+00:00,100000.0
2025-09-18 12:00:00+00:00,100000.0
2025-09-18 16:00:00+00:00,100000.0
2025-09-18 20:00:00+00:00,100000.0
2025-09-19 00:00:00+00:00,100000.0
2025-09-19 04:00:00+00:00,100000.0
2025-09-19 08:00:00+00:00,100000.0
2025-09-19 12:00:00+00:00,100000.0
2025-09-19 16:00:00+00:00,100000.0
2025-09-19 20:00:00+00:00,100000.0
2025-09-20 00:00:00+00:00,100000.0
2025-09-20 04:00:00+00:00,100000.0
2025-09-20 08:00:00+00:00,100000.0
2025-09-20 12:00:00+00:00,100000.0
2025-09-20 16:00:00+00:00,100000.0
2025-09-20 20:00:00+00:00,100000.0
2025-09-21 00:00:00+00:00,100000.0
2025-09-21 04:00:00+00:00,100000.0
2025-09-21 08:00:00+00:00,100000.0
2025-09-21 12:00:00+00:00,100000.0
2025-09-21 16:00:00+00:00,100000.0
2025-09-21 20:00:00+00:00,100000.0
2025-09-22 00:00:00+00:00,100000.0
2025-09-22 04:00:00+00:00,100000.0
2025-09-22 08:00:00+00:00,100024.67767934248
2025-09-22 12:00:00+00:00,100022.90168154739
2025-09-22 16:00:00+00:00,99961.63253261342
2025-09-22 20:00:00+00:00,100007.8514877323
2025-09-23 00:00:00+00:00,99973.5046616241
