Datetime,Open,High,Low,Close,Volume
2024-09-14 00:00:00+0000,60544.2265625,60645.54296875,60327.08984375,60379.34375,23953408
2024-09-14 04:00:00+0000,60359.734375,60365.07421875,59930.02734375,60168.54296875,327542784
2024-09-14 08:00:00+0000,60165.48046875,60178.71875,59637.1484375,59736.859375,0
2024-09-14 12:00:00+0000,59734.7109375,60016.9296875,59672.5859375,59895.89453125,0
2024-09-14 16:00:00+0000,59893.10546875,59996.75390625,59541.2890625,59820.45703125,0
2024-09-14 20:00:00+0000,59822.86328125,60118.37890625,59810.58984375,60000.7265625,0
2024-09-15 00:00:00+0000,60007.734375,60272.4140625,60007.734375,60165.60546875,0
2024-09-15 04:00:00+0000,60174.77734375,60252.39453125,60121.703125,60202.33984375,0
2024-09-15 08:00:00+0000,60204.19921875,60212.94140625,59927.71484375,60013.19921875,0
2024-09-15 12:00:00+0000,60014.4453125,60377.87890625,59913.5703125,60352.7265625,637199360
2024-09-15 16:00:00+0000,60346.125,60348.37109375,59771.015625,59888.3828125,1605139456
2024-09-15 20:00:00+0000,59890.86328125,59920.53515625,58734.30078125,59185.2265625,3227370496
2024-09-16 00:00:00+0000,59141.94921875,59195.609375,58173.53515625,58581.89453125,4537831424
2024-09-16 04:00:00+0000,58569.51171875,58952.56640625,58333.83203125,58906.94921875,2235916288
2024-09-16 08:00:00+0000,58903.5078125,59154.6171875,58515.109375,58656.88671875,2590969856
2024-09-16 12:00:00+0000,58655.33984375,58773.3984375,57582.54296875,57914.42578125,4188692480
2024-09-16 16:00:00+0000,57875.87109375,58212.9296875,57526.57421875,57978.54296875,2094254080
2024-09-16 20:00:00+0000,57924.140625,58386.05859375,57658.56640625,58192.5078125,392192000
2024-09-17 00:00:00+0000,58204.09375,58336.74609375,57643.33203125,58058.48828125,0
2024-09-17 04:00:00+0000,58057.546875,58751.83984375,58043.18359375,58690.1015625,124100608
2024-09-17 08:00:00+0000,58694.80859375,59279.3671875,58649.67578125,59114.56640625,642729984
2024-09-17 12:00:00+0000,59092.84765625,61289.640625,58910.32421875,61137.2734375,6406739968
2024-09-17 16:00:00+0000,61121.13671875,61276.57421875,59750.45703125,60024.77734375,2495074304
2024-09-17 20:00:00+0000,59982.42578125,60398.3671875,59767.8046875,60309.0,979152896
2024-09-18 00:00:00+0000,60316.3828125,60716.76953125,59913.9140625,60526.796875,1252593664
2024-09-18 04:00:00+0000,60518.12109375,60678.96875,60231.1640625,60445.30078125,261021696
2024-09-18 08:00:00+0000,60437.484375,60437.484375,59392.53125,59880.828125,839815168
2024-09-18 12:00:00+0000,59853.79296875,60140.046875,59353.9609375,59476.66796875,0
2024-09-18 16:00:00+0000,59428.51171875,61153.91796875,59218.25390625,60063.84765625,7725678592
2024-09-18 20:00:00+0000,60062.36328125,61651.15625,59636.2578125,61651.15625,2226614272
2024-09-19 00:00:00+0000,61760.109375,62540.09765625,61609.8671875,62104.41015625,5096579072
2024-09-19 04:00:00+0000,62119.37109375,62180.41796875,61861.71875,62094.35546875,1442205696
2024-09-19 08:00:00+0000,62097.58984375,62702.8671875,61906.4765625,62685.5234375,697552896
2024-09-19 12:00:00+0000,62669.34375,63509.4375,62642.58203125,63177.40625,4473815040
2024-09-19 16:00:00+0000,63166.44140625,63854.0234375,63005.16015625,63283.08984375,1481433088
2024-09-19 20:00:00+0000,63292.31640625,63292.31640625,62670.171875,62941.42578125,498032640
2024-09-20 00:00:00+0000,62958.390625,63644.1640625,62636.74609375,63607.8828125,460214272
2024-09-20 04:00:00+0000,63751.57421875,64059.8828125,63428.46875,63549.46484375,3553832960
2024-09-20 08:00:00+0000,63536.1015625,63696.109375,63152.46484375,63439.390625,501096448
2024-09-20 12:00:00+0000,63444.3515625,63511.99609375,62586.25,63204.3828125,221728768
2024-09-20 16:00:00+0000,63148.5703125,63260.6171875,62388.29296875,62952.44140625,0
2024-09-20 20:00:00+0000,62823.80078125,63285.91796875,62733.79296875,63184.33984375,179388416
2024-09-21 00:00:00+0000,63199.53515625,63293.9765625,62846.53125,62890.34765625,0
2024-09-21 04:00:00+0000,62895.04296875,63135.2890625,62784.71875,63099.625,0
2024-09-21 08:00:00+0000,63093.9609375,63147.47265625,62978.30859375,63103.76171875,0
2024-09-21 12:00:00+0000,63097.55078125,63300.1171875,63064.890625,63204.09765625,0
2024-09-21 16:00:00+0000,63208.37890625,63409.953125,63131.375,63207.55078125,0
2024-09-21 20:00:00+0000,63245.06640625,63538.93359375,63076.01953125,63396.8046875,418233344
2024-09-22 00:00:00+0000,63420.4453125,63452.08203125,62853.45703125,63126.2578125,508866560
2024-09-22 04:00:00+0000,63131.00390625,63197.015625,62862.484375,62956.15625,11994112
2024-09-22 08:00:00+0000,62939.81640625,63041.03515625,62598.16796875,62827.8046875,911618048
2024-09-22 12:00:00+0000,62815.484375,62924.2734375,62508.12109375,62702.0234375,609098752
2024-09-22 16:00:00+0000,62676.03515625,63225.96875,62496.03515625,63178.171875,656564224
2024-09-22 20:00:00+0000,63203.5,63983.56640625,62445.515625,63643.1015625,3942220800
2024-09-23 00:00:00+0000,63614.1796875,64733.55859375,62630.015625,64349.203125,5139589120
2024-09-23 04:00:00+0000,64370.69140625,64451.96484375,63429.9453125,63550.58984375,2667841536
2024-09-23 08:00:00+0000,63554.44140625,63686.5703125,63334.24609375,63407.48828125,997922816
2024-09-23 12:00:00+0000,63424.5390625,63762.85546875,63106.3671875,63651.41015625,3763523584
2024-09-23 16:00:00+0000,63617.53515625,63790.18359375,63128.59765625,63281.14453125,1522765824
2024-09-23 20:00:00+0000,63303.59375,63460.9765625,63122.078125,63326.83984375,203386880
2024-09-24 00:00:00+0000,63328.78125,63394.4609375,62740.75390625,63114.89453125,165466112
2024-09-24 04:00:00+0000,63118.89453125,63559.84765625,62933.04296875,63548.3359375,0
2024-09-24 08:00:00+0000,63552.16015625,63914.6328125,63395.70703125,63466.83984375,287037440
2024-09-24 12:00:00+0000,63468.2734375,63762.5625,62773.484375,63191.19140625,723415040
2024-09-24 16:00:00+0000,63173.06640625,64287.421875,63120.75390625,64284.71875,1811572736
2024-09-24 20:00:00+0000,64316.328125,64629.11328125,63994.4453125,64302.58984375,2240202752
